geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1011992-0,Römerite,,,,,,,
emu:/test/etaxonomy/1000695-0,Allophane,,,,,,,
emu:/test/etaxonomy/1001826-1,Bauxite,,,,,,,
emu:/test/etaxonomy/1014143-0,Zoisite (var. thulite),,,,,,,
emu:/test/etaxonomy/1007184-0,Johannsenite,,,,,,,
emu:/test/etaxonomy/1008388-1,Mangan-hedenbergite,,,,,,,
emu:/test/etaxonomy/1002391-1,Bustamite,,,,,,,
emu:/test/etaxonomy/1006904-0,Ilsemannite,,,,,,,
emu:/test/etaxonomy/1014119-0,Thomsonite,,,,,,,
emu:/test/etaxonomy/1001836-0,Bavenite,,,,,,,
emu:/test/etaxonomy/1001937-1,Beryl,,,,,,,
emu:/test/etaxonomy/1004104-1,Dickite,,,,,,,
emu:/test/etaxonomy/1001404-0,Arsenopyrite,,,,,,,
emu:/test/etaxonomy/1000222-1,Sphalerite,,,,,,,
emu:/test/etaxonomy/1001280-0,Aragonite,,,,,,,
emu:/test/etaxonomy/1013736-1,Sulfur,,,,,,,
emu:/test/etaxonomy/1002731-2,Celestite,,,,,,,
emu:/test/etaxonomy/1008344-0,Malachite,,,,,,,
emu:/test/etaxonomy/1003115-1,Chlorite,,,,,,,
emu:/test/etaxonomy/1013025-0,Siderite,,,,,,,
emu:/test/etaxonomy/1006364-1,Hematite,,,,,,,
emu:/test/etaxonomy/1008924-0,Millerite,,,,,,,
emu:/test/etaxonomy/1000826-1,Amazon stone,,,,,,,
emu:/test/etaxonomy/1013633-0,Stilpnomelane,,,,,,,
emu:/test/etaxonomy/1013324-0,Smithsonite,,,,,,,
emu:/test/etaxonomy/10596109-0,Quartz (var. tiger's eye),,,,,,,
emu:/test/etaxonomy/1003773-1,Riebeckite (var. crocidolite),,,,,,,
emu:/test/etaxonomy/1001280-1,Aragonite,,,,,,,
emu:/test/etaxonomy/1013747-1,Sulphur,,,,,,,
emu:/test/etaxonomy/1006445-0,Heulandite,,,,,,,
emu:/test/etaxonomy/1002802-1,Chabazite,,,,,,,
emu:/test/etaxonomy/1000947-0,Analcime,,,,,,,
emu:/test/etaxonomy/1002731-1,Celestite,,,,,,,
emu:/test/etaxonomy/1006211-0,Gypsum,,,,,,,
emu:/test/etaxonomy/1013747-2,Sulphur,,,,,,,
emu:/test/etaxonomy/1015646-0,Ferrotapiolite,,,,,,,
emu:/test/etaxonomy/1008894-1,Microlite,,,,,,,
emu:/test/etaxonomy/1008894-0,Microlite,,,,,,,
emu:/test/etaxonomy/1003254-0,Churchite,,,,,,,
emu:/test/etaxonomy/1015130-1,Weinschenkite,,,,,,,
emu:/test/etaxonomy/1015291-1,Wolframite,,,,,,,
emu:/test/etaxonomy/1013444-0,Spessartine,,,,,,,
emu:/test/etaxonomy/1003623-0,Copper,,,,,,,
emu:/test/etaxonomy/1003235-1,Chrysocolla,,,,,,,
emu:/test/etaxonomy/1014635-0,Uintahite,,,,,,,
emu:/test/etaxonomy/1005391-1,Gilsonite,,,,,,,
emu:/test/etaxonomy/1002125-0,Böhmite,,,,,,,
emu:/test/etaxonomy/1009303-0,Natrolite,,,,,,,
emu:/test/etaxonomy/1002067-1,Bixbyite,,,,,,,
emu:/test/etaxonomy/1000812-0,Alunogen,,,,,,,
emu:/test/etaxonomy/1007356-1,Keramohalite,,,,,,,
emu:/test/etaxonomy/1007818-0,Lepidolite,,,,,,,
emu:/test/etaxonomy/1002341-0,Brookite,,,,,,,
emu:/test/etaxonomy/1012078-1,Rutile,,,,,,,
emu:/test/etaxonomy/1001545-0,Azurite,,,,,,,
emu:/test/etaxonomy/1008344-1,Malachite,,,,,,,
emu:/test/etaxonomy/1003838-0,Cuprite,,,,,,,
emu:/test/etaxonomy/1005744-0,Goldfieldite,,,,,,,
emu:/test/etaxonomy/1007741-0,Lazulite,,,,,,,
emu:/test/etaxonomy/1009315-0,Natrotantite,,,,,,,
emu:/test/etaxonomy/1013170-1,Simpsonite,,,,,,,
